Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,7
Host write range: ,6728
Total Erase Count is: ,65921
Max Erase Count: ,1126
Min Erase Count: ,0
Avg Erase Count: ,329.605000
Total GC Count is: ,29571
Total Segmental GC Count is: ,49972
Total WL Count is: ,11630
WAF is: ,11.386905

VB No,Valid Count,Erase Count
362,3798,3798,27,831,1
363,3291,3291,23,831,1
364,4161,4161,29,831,1
365,1454,1454,32,831,1
366,1909,1909,34,831,1
367,4808,4808,37,831,1
368,3224,3224,23,831,1
369,3509,3509,33,831,1
370,6311,6311,21,831,1
371,3648,3648,35,831,1
372,10,10,30,831,1
373,791,791,33,831,1
374,842,842,28,831,1
375,1720,1720,38,831,1
376,963,963,26,831,1
377,3570,3570,28,831,1
378,1440,1440,29,831,1
379,1601,1601,29,831,1
380,1526,1526,35,831,1
381,6218,6218,23,831,1
382,3540,3540,30,831,1
383,6270,6270,21,831,1
384,4313,4313,33,831,1
385,6113,6113,27,831,1
386,2951,2951,38,831,1
387,3479,3479,29,831,1
388,3681,3681,38,831,1
389,3974,3974,27,831,1
390,2446,2446,23,831,1
391,2747,2747,34,831,1
392,2595,2595,36,824,1
393,287,287,27,487,1
394,4294967295,65535,65535,221,0
395,4294967295,65535,65535,117,0
396,4199,4199,30,333,1
397,2750,2750,35,333,1
398,2714,2714,41,333,1
399,6188,6188,27,333,1
400,3193,3193,27,333,1
401,556,556,24,333,1
402,640,640,39,333,1
403,5403,5403,33,333,1
404,1077,1077,37,333,1
405,5692,5692,35,333,1
406,6002,6002,33,333,1
407,23,23,22,333,1
408,1953,1953,28,333,1
409,279,279,28,333,1
410,2188,2188,30,333,1
411,1706,1706,31,333,1
412,2486,2486,26,333,1
413,3095,3095,26,333,1
414,1091,1091,42,333,1
415,2832,2832,31,333,1
416,77,77,34,333,1
417,3181,3181,31,333,1
418,5390,5390,37,333,1
419,4006,4006,37,333,1
420,212,212,23,333,1
421,4392,4392,39,333,1
422,234,234,34,333,1
423,3374,3374,36,333,1
424,6663,6663,23,333,1
425,5867,5867,23,333,1
426,4475,4475,38,333,0
427,316,316,28,333,1
428,4055,4055,42,333,1
429,2111,2111,37,318,1
430,6639,6639,30,309,1
431,4300,4300,33,308,1
432,5977,5977,25,333,1
433,5884,5884,22,333,1
434,555,555,31,333,1
435,3108,3108,34,333,1
436,990,990,24,333,1
437,1372,1372,36,333,1
438,3700,3700,37,333,1
439,6124,6124,28,333,1
440,6621,6621,29,333,1
441,5648,5648,35,333,1
442,3951,3951,29,333,1
443,3722,3722,33,333,1
444,3292,3292,30,333,1
445,5314,5314,28,333,1
446,4890,4890,35,333,1
447,2229,2229,40,333,1
448,5755,5755,42,333,1
449,124,124,37,333,1
450,2201,2201,35,333,1
451,2709,2709,34,333,1
452,5157,5157,31,333,1
453,2590,2590,29,333,1
454,263,263,28,333,1
455,763,763,33,333,1
456,3338,3338,23,333,1
457,3392,3392,24,333,1
458,1197,1197,35,333,1
459,6641,6641,42,333,1
460,5509,5509,39,333,1
461,3197,3197,28,333,1
462,6320,6320,33,333,1
463,3606,3606,27,333,1
464,807,807,33,333,1
465,5326,5326,35,317,1
466,3142,3142,26,310,1
467,5073,5073,32,308,1
468,525,525,36,977,1
469,179,179,35,977,1
470,6415,6415,28,977,1
471,2778,2778,33,977,1
472,4861,4861,33,977,1
473,3995,3995,45,977,1
474,3226,3226,29,977,1
475,4761,4761,31,977,1
476,3172,3172,28,977,1
477,5312,5312,26,977,1
478,3889,3889,27,977,1
479,3269,3269,37,977,1
480,5892,5892,30,977,1
481,3964,3964,31,977,1
482,5001,5001,30,977,1
483,3064,3064,33,977,1
484,6276,6276,23,977,1
485,6710,6710,25,977,1
486,5821,5821,37,977,1
487,4643,4643,27,977,1
488,66,66,16,977,1
489,3235,3235,38,977,1
490,6398,6398,19,977,1
491,5987,5987,39,977,1
492,5740,5740,21,977,1
493,1011,1011,35,977,1
494,6086,6086,26,977,1
495,5701,5701,37,977,1
496,5762,5762,29,977,0
497,2583,2583,28,977,1
498,6063,6063,26,977,1
499,5074,5074,38,977,1
500,1768,1768,26,957,1
501,1955,1955,26,542,1
502,3904,3904,31,217,1
503,4294967295,65535,65535,58,0
504,5258,5258,28,454,1
505,1009,1009,29,454,1
506,679,679,40,454,1
507,4894,4894,33,454,1
508,803,803,37,454,1
509,5173,5173,38,454,1
510,1748,1748,27,454,1
511,4360,4360,24,454,1
512,388,388,25,454,1
513,1445,1445,32,454,1
514,5381,5381,35,454,1
515,625,625,24,454,1
516,3223,3223,33,454,1
517,1322,1322,34,454,1
518,5625,5625,32,454,1
519,2235,2235,25,454,1
520,2925,2925,35,454,1
521,2851,2851,38,454,1
522,3831,3831,34,454,1
523,3043,3043,34,454,1
524,6400,6400,29,454,1
525,588,588,42,454,1
526,2959,2959,30,454,1
527,5835,5835,30,454,1
528,3595,3595,20,454,1
529,1399,1399,31,454,1
530,3432,3432,31,454,1
531,1935,1935,27,454,1
532,5174,5174,27,454,1
533,4354,4354,24,454,1
534,634,634,35,454,1
535,1805,1805,23,454,1
536,1930,1930,27,450,1
537,4701,4701,32,365,1
538,4294967295,65535,65535,292,0
539,4294967295,65535,65535,262,0
540,84,84,24,299,1
541,2939,2939,38,299,1
542,6250,6250,26,299,1
543,5823,5823,26,299,1
544,5760,5760,40,299,1
545,4734,4734,36,299,1
546,5331,5331,34,299,1
547,5447,5447,42,299,1
548,931,931,37,299,1
549,3511,3511,23,299,1
550,1298,1298,26,299,1
551,5493,5493,36,299,1
552,5925,5925,21,299,1
553,63,63,39,299,1
554,5705,5705,39,299,1
555,3828,3828,26,299,1
556,1882,1882,34,299,1
557,4,4,31,299,1
558,3424,3424,36,299,1
559,1359,1359,30,299,1
560,977,977,21,299,1
561,1029,1029,33,299,1
562,308,308,22,299,1
563,6384,6384,27,299,1
564,1956,1956,30,299,1
565,6585,6585,20,299,1
566,5876,5876,24,299,1
567,3755,3755,33,299,1
568,4255,4255,31,299,1
569,3507,3507,27,299,1
570,3908,3908,27,299,1
571,5492,5492,36,299,1
572,6651,6651,26,298,1
573,4124,4124,28,296,1
574,1790,1790,30,294,1
575,1483,1483,28,294,1
576,3250,3250,29,357,1
577,3572,3572,26,357,1
578,3805,3805,27,357,1
579,1873,1873,21,357,1
580,6096,6096,27,357,1
581,3929,3929,36,357,1
582,754,754,33,357,1
583,1283,1283,35,357,1
584,1144,1144,27,357,1
585,133,133,30,357,1
586,2268,2268,33,357,0
587,5950,5950,29,357,1
588,4822,4822,38,357,1
589,5980,5980,21,357,1
590,2419,2419,35,357,1
591,4069,4069,34,357,1
592,442,442,37,357,1
593,1269,1269,27,357,1
594,4546,4546,37,357,1
595,396,396,39,357,1
596,3880,3880,42,357,1
597,1383,1383,31,357,1
598,5524,5524,32,357,1
599,1854,1854,36,357,1
600,3638,3638,41,357,1
601,1220,1220,29,357,1
602,4564,4564,32,357,1
603,2095,2095,25,357,1
604,1101,1101,34,357,1
605,5427,5427,40,357,1
