Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,6729
Max Erase Count: ,36
Min Erase Count: ,0
Avg Erase Count: ,33.645000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,1175
WAF is: ,1.204391

VB No,Valid Count,Erase Count
610,5218,5218,1,37,1
611,5219,5219,1,37,1
612,4788,4788,1,34,1
613,4789,4789,1,34,1
614,4790,4790,1,34,1
615,4791,4791,1,34,1
616,4792,4792,1,34,1
617,4793,4793,1,34,1
618,4794,4794,1,34,1
619,4795,4795,1,34,1
620,4796,4796,1,34,1
621,4797,4797,1,34,1
622,4798,4798,1,34,1
623,4799,4799,1,34,1
624,4800,4800,1,34,1
625,4801,4801,1,34,1
626,4802,4802,1,34,1
627,4803,4803,1,34,1
628,4804,4804,1,34,1
629,4805,4805,1,34,1
630,4806,4806,1,34,1
631,4807,4807,1,34,1
632,4808,4808,1,34,1
633,4809,4809,1,34,1
634,4810,4810,1,34,1
635,4811,4811,1,34,1
636,4812,4812,1,34,1
637,4813,4813,1,34,1
638,4814,4814,1,34,1
639,4815,4815,1,34,1
640,4816,4816,1,34,1
641,4817,4817,1,34,1
642,4818,4818,1,34,1
643,4819,4819,1,34,1
644,4820,4820,1,34,1
645,4821,4821,1,34,1
646,4822,4822,1,34,1
647,4823,4823,1,34,1
648,1404,1404,1,36,1
649,1405,1405,1,36,1
650,1406,1406,1,36,1
651,1407,1407,1,36,1
652,1408,1408,1,36,1
653,1409,1409,1,36,1
654,1410,1410,1,36,1
655,1411,1411,1,36,1
656,1412,1412,1,36,1
657,1413,1413,1,36,1
658,1414,1414,1,36,1
659,1415,1415,1,36,1
660,1416,1416,1,36,1
661,1417,1417,1,36,1
662,1418,1418,1,36,1
663,1419,1419,1,36,1
664,1420,1420,1,36,1
665,1421,1421,1,36,1
666,1422,1422,1,36,1
667,1423,1423,1,36,1
668,1424,1424,1,36,1
669,1425,1425,1,36,1
670,1426,1426,1,36,1
671,1427,1427,1,36,1
672,1428,1428,1,36,1
673,1429,1429,1,36,1
674,1430,1430,1,36,1
675,1431,1431,1,36,1
676,1432,1432,1,36,1
677,1433,1433,1,36,1
678,1434,1434,1,36,1
679,1435,1435,1,36,1
680,1436,1436,1,36,1
681,1437,1437,1,36,1
682,1438,1438,1,36,1
683,1439,1439,1,36,1
684,4716,4716,1,34,1
685,4717,4717,1,34,1
686,4718,4718,1,34,1
687,4719,4719,1,34,1
688,4720,4720,1,34,1
689,4721,4721,1,34,1
690,4722,4722,1,34,1
691,4723,4723,1,34,1
692,4724,4724,1,34,1
693,4725,4725,1,34,1
694,4726,4726,1,34,1
695,4727,4727,1,34,1
696,4728,4728,1,34,1
697,4729,4729,1,34,1
698,4730,4730,1,34,1
699,4731,4731,1,34,1
700,4732,4732,1,34,1
701,4733,4733,1,34,1
702,4734,4734,1,34,1
703,4735,4735,1,34,1
704,4736,4736,1,34,1
705,4737,4737,1,34,1
706,4738,4738,1,34,1
707,4739,4739,1,34,1
708,4740,4740,1,34,1
709,4741,4741,1,34,1
710,4742,4742,1,34,1
711,4743,4743,1,34,1
712,4744,4744,1,34,1
713,4745,4745,1,34,1
714,4746,4746,1,34,1
715,4747,4747,1,34,1
716,4748,4748,1,34,1
717,4749,4749,1,34,1
718,4750,4750,1,34,1
719,4751,4751,1,34,1
720,4104,4104,1,33,1
721,4105,4105,1,33,1
722,4106,4106,1,33,1
723,4107,4107,1,33,1
724,4108,4108,1,33,1
725,4109,4109,1,33,1
726,4110,4110,1,33,1
727,4111,4111,1,33,1
728,4112,4112,1,33,1
729,4113,4113,1,33,1
730,4114,4114,1,33,1
731,4115,4115,1,33,1
732,4116,4116,1,33,1
733,4117,4117,1,33,1
734,4118,4118,1,33,1
735,4119,4119,1,33,1
736,4120,4120,1,33,1
737,4121,4121,1,33,1
738,4122,4122,1,33,1
739,4123,4123,1,33,1
740,4124,4124,1,33,1
741,4125,4125,1,33,1
742,4126,4126,1,33,1
743,4127,4127,1,33,1
744,4128,4128,1,33,1
745,4129,4129,1,33,1
746,4130,4130,1,33,1
747,4131,4131,1,33,1
748,4132,4132,1,33,1
749,4133,4133,1,33,1
750,4134,4134,1,33,1
751,4135,4135,1,33,1
752,4136,4136,1,33,1
753,4137,4137,1,33,1
754,4138,4138,1,33,1
755,4139,4139,1,33,1
756,864,864,1,33,1
757,865,865,1,33,1
